kanal,rolle,video_id,titel,views,likes,like_rate_pct,dauer_s,dauer_h,aufloesung,fps,tags_gesetzt,tags_anzahl,captions,sprache_start_s,sprache_bis_s,sprache_bis_pct,sprech_netto_s,sprech_anteil_pct,max_pause_s,pausen_ueber_60s
UCo6ArZxfwPQ4uSCFiqfDK9A,MEDIAN,P-skZ4uglyI,The Book of Romans (Full Book) - Bible Reading with Piano and Rain Sou,49000,,,4192,1.16,NA,NA,NA,NA,NA,3.4,4190.1,100.0,4178.2,99.7,1.1,0
UCo6ArZxfwPQ4uSCFiqfDK9A,FLOP,RGkbn94Ks-4,The book of Daniel (Full book) bible reading with piano and rain sound,7100,,,4468,1.24,NA,NA,NA,NA,NA,3.5,4468.5,100.0,4461.4,99.9,1.2,0
UCMbWbGbTG23WSa5M6VJgctw,TOP,jpjR5lSEjww,Fall Asleep to Isaiah Like Never Before | Peaceful Bible Reading for M,773770,8815,1.14,14320,3.98,NA,NA,JA,26,NEIN,3.4,14320.4,100.0,14216.0,99.3,2.2,0
UCMbWbGbTG23WSa5M6VJgctw,MEDIAN,FJbu291cR8w,Fall Asleep to the Book of Jeremiah | When God Spoke Before the Fall [,25000,,,13889,3.86,NA,NA,NA,NA,NA,6.8,13886.3,100.0,13872.8,99.9,0.8,0
UCMbWbGbTG23WSa5M6VJgctw,FLOP,eqSO5hlFo7M,These Psalms HEAL While You SLEEP - Wake Up Restored by God’s Word,2100,,,3638,1.01,NA,NA,NA,NA,NA,7.8,3639.1,100.0,3605.8,99.1,2.9,0
UCiKc3XR_CAwWx1rtLFQnlvQ,TOP,93EiQczY-YU,Fall Asleep to Book of Enoch Banned from The Bible: The Fall of the An,883669,10688,1.21,10885,3.02,NA,NA,JA,14,NEIN,0.3,10878.4,99.9,10760.4,98.9,15.1,0
UCiKc3XR_CAwWx1rtLFQnlvQ,MEDIAN,RAW8bqGgRhM,Prophetic Word for 2026 You NEED to Hear - 7 Enoch Prophecies Happenin,3200,,,10812,3.0,NA,NA,NA,NA,NA,0.2,10663.4,98.6,10651.8,98.5,5.8,0
UCiKc3XR_CAwWx1rtLFQnlvQ,FLOP,J9zUKXz7NCQ,Fall Asleep to the Book of John (KJV) – Full Audiobook With Text I 4K ,524,,,7385,2.05,NA,NA,NA,NA,NA,0.6,7380.4,99.9,7342.3,99.4,16.7,0
UCP7dYl63OzMZXZiWlOCcv1g,TOP,nHn4UxGedts,Fall Asleep to the Book of Enoch COMPLETE | An Ancient Text Not Found ,551916,11332,2.05,8457,2.35,NA,NA,NEIN,0,NEIN,0.1,8457.6,100.0,8455.9,100.0,1.6,0
UCP7dYl63OzMZXZiWlOCcv1g,MEDIAN,UE1L1WE9CQc,Fall Asleep to the Full Story of Elisha | The Prophet Who Raised the D,8700,,,6914,1.92,NA,NA,NA,NA,NA,0.1,6914.7,100.0,6912.2,100.0,0.8,0
UCP7dYl63OzMZXZiWlOCcv1g,FLOP,dgKEUBy1Czs,"Fall Asleep to Romans: The Citizen Who Was Owned, and Sent",707,,,4726,1.31,NA,NA,NA,NA,NA,0.2,4726.6,100.0,4724.4,100.0,0.6,0
UCiolk5zOhJjJta3iS6HJDCw,TOP,8m6NqWG9p2o,No More Thinking Tonight… Rest With Jesus,165774,3409,2.06,12392,3.44,NA,NA,NEIN,0,NEIN,2.4,12387.3,100.0,12383.8,99.9,1.1,0
UCiolk5zOhJjJta3iS6HJDCw,MEDIAN,Bdj77Dfh_AU,"If You're Overwhelmed, Sleep To These Psalms Tonight",1300,,,11479,3.19,NA,NA,NA,NA,NA,1.4,11476.6,100.0,11474.5,100.0,0.8,0
UCiolk5zOhJjJta3iS6HJDCw,FLOP,JYGUW6LpDio,God Knows You're Tired... Sleep To These Psalms Tonight,140,,,4881,1.36,NA,NA,NA,NA,NA,0.0,4869.1,99.8,4868.8,99.8,0.2,0
